Date,New Cases,Total Cases,New Recovered,Total Recovered
2021-04-01,26,28889,122,27767
2021-04-02,58,28947,58,27825
2021-04-03,84,29031,62,27887
2021-04-04,96,29127,106,27993
2021-04-05,194,29321,66,28059
2021-04-06,250,29571,108,28167
2021-04-07,334,29905,121,28288
2021-04-08,405,30310,32,28320
2021-04-09,559,30869,27,28347
2021-04-10,789,31658,33,28380
2021-04-11,967,32625,53,28433
2021-04-12,985,33610,34,28467
2021-04-13,965,34575,40,28507
2021-04-14,1338,35913,34,28541
2021-04-15,1543,37456,61,28602
2021-04-16,1582,39038,97,28699
2021-04-17,1547,40585,90,28789
2021-04-18,1767,42352,113,28902
2021-04-19,1390,43742,104,29006
2021-04-20,1443,45185,171,29177
2021-04-21,1458,46643,413,29590
2021-04-22,1470,48113,477,30067
2021-04-23,2070,50183,341,30408
2021-04-24,2839,53022,377,30785
2021-04-25,2438,55460,547,31332
2021-04-26,2048,57508,480,31812
2021-04-27,2179,59687,1958,33770
2021-04-28,2012,61699,851,34621
2021-04-29,1871,63570,992,35613
2021-04-30,1583,65153,860,36473
2021-05-01,1891,67044,1821,38294
2021-05-02,1940,68984,1183,39477
2021-05-03,2041,71025,1726,41203
2021-05-04,1763,72788,1490,42693
2021-05-05,2112,74900,1886,44579
2021-05-06,1911,76811,2435,47014
2021-05-07,2044,78855,2377,49391
2021-05-08,2419,81274,2247,51638
2021-05-09,2101,83375,2186,53824
2021-05-10,1630,85005,1603,55427
2021-05-11,1919,86924,1829,57256
2021-05-12,1983,88907,2006,59262
2021-05-13,4887,93794,1572,60834
2021-05-14,2256,96050,1701,62535
2021-05-15,3095,99145,1351,63886
2021-05-16,2302,101447,2136,66022
2021-05-17,9635,111082,1397,67419
2021-05-18,2473,113555,2718,70137
2021-05-19,3394,116949,4450,74587
2021-05-20,2636,119585,2268,76855
2021-05-21,3481,123066,2868,79723
2021-05-22,3052,126118,2900,82623
2021-05-23,3382,129500,2131,84754
2021-05-24,2713,132213,1565,86319
2021-05-25,3226,135439,3094,89413
2021-05-26,2455,137894,2571,91984
2021-05-27,3323,141217,2063,94047
2021-05-28,3759,144976,4044,98091
2021-05-29,4803,149779,4439,102530
2021-05-30,4528,154307,2933,105463
2021-05-31,5485,159792,3101,108564
2021-06-01,2230,162022,3390,111954
2021-06-02,3440,165462,2843,114797
2021-06-03,3886,169348,3626,118423
2021-06-04,2631,171979,2493,120916
2021-06-05,2817,174796,3396,124312
2021-06-06,2671,177467,2424,126736
2021-06-07,2419,179886,2999,129735
2021-06-08,2662,182548,2483,132218
